y^+,vv DNS,vv (y^+),uu (y^+) RST,uu DNS,uv DNS,uv RST (y^+),U,U k-w
191.52,1.2,0.791574273,2.848759985,4.37E+00,-0.89,-0.733073219,17.42781905,21.2550117
195.06,1.2,0.789464929,2.837163341,4.36E+00,-0.89,-0.730427037,17.45985344,21.27982307
198.63,1.2,0.787350833,2.825590451,4.35E+00,-0.89,-0.727776104,17.49158232,21.30435076
202.22,1.2,0.785231987,2.814046066,4.34E+00,-0.89,-0.725125171,17.52302752,21.32863841
205.85,1.2,0.78310364,2.802525434,4.33E+00,-0.88,-0.722474238,17.55416721,21.3526642
209.51,1.2,0.780975292,2.791033308,4.32E+00,-0.88,-0.719818555,17.58502322,21.37647177
213.2,1.19,0.778837443,2.779569685,4.30E+00,-0.88,-0.717167622,17.61559555,21.40001749
216.92,1.19,0.776699594,2.768134568,4.29E+00,-0.88,-0.714511938,17.64588419,21.42332316
220.66,1.19,0.774552243,2.756723204,4.28E+00,-0.88,-0.711856254,17.67588915,21.44641061
224.44,1.19,0.772400142,2.745335595,4.27E+00,-0.88,-0.709200571,17.70563225,21.46925802
228.25,1.19,0.77024329,2.73397649,4.25E+00,-0.87,-0.706544887,17.73511348,21.49188722
232.09,1.19,0.768086437,2.722641138,4.24E+00,-0.87,-0.703884452,17.76431104,21.51427637
235.96,1.18,0.765920084,2.711334292,4.23E+00,-0.87,-0.701224018,17.79326855,21.53646913
239.86,1.18,0.763748979,2.700051199,4.22E+00,-0.87,-0.698568334,17.8219642,21.55844367
243.79,1.18,0.761577874,2.688796611,4.20E+00,-0.87,-0.6959079,17.85041982,21.5802
247.75,1.18,0.759402019,2.677565777,4.19E+00,-0.87,-0.693247465,17.87861357,21.6017381
251.74,1.18,0.757221413,2.666363448,4.18E+00,-0.86,-0.690587031,17.90656728,21.62307981
255.76,1.17,0.755036056,2.655189623,4.17E+00,-0.86,-0.687921845,17.93428095,21.64422513
259.81,1.17,0.752845948,2.644034801,4.15E+00,-0.86,-0.685261411,17.96177641,21.66517404
