y/delta,y^+,U,dU/dy,W,P,Re_tau,u'u',v'v',w'w',u'v',u'w',v'w',k
0.0017037166345338,3.398499624238986,3.357001883154072,0.9543330991682604,0.0013649037138083,-0.0085961028005294,2000,1.948267367701215,0.0085961028005294,0.4540780458261415,-0.0439689077801815,0.0008229198122769,-1.314651554659652e-05,1.205470758163943
0.0019506751090802,3.891121616615142,3.822456823807064,0.9347690523640888,0.0015550820117021,-0.012963541710568,2000,2.468309618425218,0.012963541710568,0.5408450378317547,-0.063287694946959,0.0010739625760334,-1.860631223668447e-05,1.51105909898377
0.0022146427026535,4.417672657666571,4.308319093210192,0.910068845928896,0.0017541361629547,-0.0188097793984707,2000,3.046737815977526,0.0188097793984707,0.6315653432700202,-0.0877258937481905,0.001365596784881,-2.539062221237368e-05,1.848556469323009
0.0024956149166223,4.978143773719019,4.81014159301966,0.8800709898168427,0.0019604316865165,-0.0263811751425964,2000,3.668573813833558,0.0263811751425964,0.7249779949958303,-0.1174449790880041,0.0016941162037559,-3.355439486315542e-05,2.209966491985992
0.0027935869625558,5.572525413020117,5.322944809227831,0.8449406114814014,0.0021721080650832,-0.0359070115758552,2000,4.314740553461201,0.0359070115758552,0.8199781147289406,-0.1522798139026984,0.0020531030596174,-4.31425885372718e-05,2.585312839882998
0.0031085537623064,6.200807445902388,5.841424806965633,0.8051695863135953,0.0023871371041923,-0.0475907092843671,2000,4.963940262553056,0.0475907092843671,0.9156410710619072,-0.1917385290025821,0.0024336672069132,-5.421339733488417e-05,2.963586021449665
0.0034405099480954,6.862979164954878,6.360202535724958,0.76153327485695,0.0026033960347288,-0.0616027618938365,2000,5.594819739545191,0.0616027618938365,1.011212211065285,-0.2350457809007887,0.0028250657439703,-6.684726294081558e-05,3.333817356252156
0.003789449862605,7.55902928520719,6.874082677448912,0.7150135728110181,0.0028187464347292,-0.0780751206105684,2000,6.187998837855996,0.0780751206105684,1.106073376243775,-0.2812196760117395,0.0032157140451207,-8.114792052473847e-05,3.68607366735517
0.0041553675590745,8.28894594431994,7.37829033338556,0.666703467164157,0.0030311096182858,-0.0970966771955792,2000,6.727620270192634,0.0970966771955792,1.199699801545149,-0.3291671714856654,0.0035944036872329,-9.72482619335658e-05,4.012208374466681
0.0045382568014016,9.052716702788729,7.868659977775718,0.6177096068642979,0.003238530833423,-0.1187096396317425,2000,7.202238293413084,0.1187096396317425,1.291619895145881,-0.3777814597234713,0.0039513774258443,-0.0001153168846279,4.306283914095353
0.0049381110642487,9.850328544154747,8.341761136417077,0.5690670229483318,0.0034392290627688,-0.1429068561789132,2000,7.605036070578931,0.1429068561789132,1.381386680333147,-0.4260272303610929,0.004278983836158,-0.0001355494302344,4.564664803545496
0.0053549235331543,10.68176787522713,8.794956422565292,0.521675373946483,0.0036316346680989,-0.1696303822796565,2000,7.93349353069103,0.1696303822796565,1.468564593684606,-0.4730044598677232,0.004571939042391,-0.0001581420013599,4.785844253327646
0.005788687104649,11.54702052631526,9.226397385134351,0.4762605645203853,0.0038144187425264,-0.1987716926965929,2000,8.188694526308383,0.1987716926965929,1.552730493969587,-0.5179868761690938,0.0048274684078291,-0.0001832498105376,4.970098356487282
0.0062393943863766,12.4460717514693,9.634970464936933,0.4333607034443959,0.0039865141879596,-0.2301738762346937,2000,8.37446781746414,0.2301738762346937,1.633484707011822,-0.5604360965034727,0.0050454944739468,-0.0002109135181128,5.119063200355328
0.0067070376972196,13.37890622873129,10.02020864558344,0.3933319747414667,0.0041471229637692,-0.2636359381531335,2000,8.496520790418481,0.2636359381531335,1.71046698237109,-0.5999958232266929,0.0052285975354003,-0.0002409341582917,5.235311855471352
0.0071916090674313,14.34550806039785,10.38218446182184,0.3563683590177757,0.0042957009558782,-0.2989190540763812,2000,8.561670353339103,0.2989190540763812,1.78337249240932,-0.6364721126057385,0.0053813442802645,-0.0002727351182308,5.321980949912402
0.00769310023877,15.34586077328899,10.72139784178753,0.3225291127580364,0.004431917184549,-0.3357543654554794,2000,8.577221749073914,0.3357543654554794,1.851963995671029,-0.6698057957641788,0.0055091837710948,-0.0003053283752595,5.38247005510021
0.0082115026646414,16.37994731903119,11.03866893892108,0.2917688562814068,0.0045555980975058,-0.3738517447523043,2000,8.550505560353033,0.3738517447523043,1.91607815683924,-0.7000422605910194,0.0056173685895543,-0.0003374926256959,5.420217730972288
0.0087468075102429,17.44775007434545,11.33504248589985,0.2639664239440986,0.0046666769948799,-0.4129089019409194,2000,8.488557965959377,0.4129089019409194,1.97562571576423,-0.727302523815422,0.0057103393585653,-0.0003681023121146,5.438546291832264
0.009299005652715,18.54925084134968,11.61170687435653,0.2389500450870606,0.0047651651561482,-0.4526202324571403,2000,8.397918181993614,0.4526202324571403,2.030586565193087,-0.7517580577751372,0.0057917871542642,-0.0003963488473509,5.440562489821921
0.0098680876812965,19.68443084786798,11.86992857883025,0.2165177978923429,0.0048511503085016,-0.4926849042943065,2000,8.284517199263737,0.4926849042943065,2.081002445015306,-0.7736104776618392,0.0058644175138656,-0.0004216221340003,5.429102274286675
0.0104540438974847,20.85327074775009,12.11100102540316,0.1964534824319286,0.0049248194818586,-0.5328138364397439,2000,8.153633566194614,0.5328138364397439,2.12697018155267,-0.793075883403072,0.0059293586641318,-0.0004432376901424,5.406708792093514
0.011056864315201,22.05575062120218,12.33620644527957,0.1785385420780035,0.0049864988457117,-0.5727353805432862,2000,8.009892047644852,0.5727353805432862,2.168635665451089,-0.8103730671536189,0.0059869329718061,-0.0004604519075945,5.375631546819614
0.0116765386609609,23.2918499751255,12.54678896728672,0.1625605594172461,0.0050366843336406,-0.6121996449609443,2000,7.857284970466185,0.6121996449609443,2.206185190643201,-0.8257148932861215,0.0060384587917443,-0.0004728809779586,5.337834903035166
0.0123130563740494,24.56154774346627,12.74393698730225,0.1483188603050363,0.0050760183335912,-0.6509815026176924,2000,7.699206185971004,0.6509815026176924,2.239833290256061,-0.8393023483472505,0.006086144400786,-0.0004809600152066,5.29501048942238
0.0129664066067002,25.86482228757359,12.92877283303747,0.1356278015346023,0.0051051994759891,-0.6888823938162864,2000,7.538496778490394,0.6888823938162864,2.269810448506589,-0.8513210741521087,0.0061305647415078,-0.0004859894485805,5.248594810406635
0.0136365782242815,27.20165139656971,13.10234790930714,0.1243183243743518,0.0051248766195672,-0.7257310664851644,2000,7.377497558642964,0.7257310664851644,2.296353020858251,-0.8619398839394341,0.0061709362206498,-0.000489740365899,5.19979082299319
0.0143235598054852,28.5720122877274,13.26564170715517,0.1142381393934648,0.0051355871082736,-0.7613834116472581,2000,7.218101613968301,0.7613834116472581,2.319694956312192,-0.8713105190528847,0.006207065854056,-0.0004938357585206,5.149589990963875
0.0150273396425217,29.97588160685862,13.41956313938889,0.1052508779394901,0.0051377700918355,-0.7957215774661732,2000,7.06181091756639,0.7957215774661732,2.340061395840674,-0.8795685350569137,0.0062387793552586,-0.0004994403188447,5.098796945436618
0.0157479057413196,31.41323542871294,13.56495288728691,0.0972345281300506,0.0051318649173634,-0.8286525774554818,2000,6.909794665782252,0.8286525774554818,2.357664106656526,-0.8868352999944744,0.0062672485561896,-0.0005072746307206,5.04805567494713
0.0164852458217297,32.88404925738435,13.70258576630607,0.090079657264364,0.0051184618203899,-0.8601065647403245,2000,6.762942921260871,0.8601065647403245,2.372698642439363,-0.8932202979117599,0.0062969094357744,-0.0005174099361773,4.997874064220279
0.0172393473177344,34.38829802672938,13.83317296171819,0.0836880650612279,0.005098417284894,-0.8900348651267855,2000,6.621912781154284,0.8900348651267855,2.385344407644177,-0.8988226829721965,0.0063332230567317,-0.0005292619867825,4.948646026962623
